control_id,type,topic,clause,statement,doc_title,page,doc_id,category,control_type,severity,policy_tags,implementation_hint
QCB-PDP-P10-I7,SHALL,Security Controls,,"Developing internal systems to receive and investigate complaints, and data access and omission or correction reque sts; and they shall be made available to individuals.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,10,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Privacy and Security,Operational,Medium,GDPR; DataPrivacy,Implement a comprehensive complaint handling system and ensure data access and correction mechanisms are in place.
QCB-PDP-P11-I1,SHALL,Security Controls,,"Article (13) Each of the Controller and the Processor shall take the precautions necessary to protect Personal Data against loss, damage, change, disclosure, access thereto, or the inadvertent or illegal use thereof.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,11,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Protection,Technical,High,GDPR; DataPrivacy,Implement encryption and access controls
QCB-PDP-P11-I2,SHALL,Data Protection,,Such precautions shall be commensurate with the nature and the importance of the Personal Data intended to be protected.,NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,11,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Protection,Governance,Medium,DataPrivacyPolicy; DataSecurityPolicy,Review and implement appropriate data protection measures based on data sensitivity.
QCB-PDP-P11-I3,SHALL,Data Protection,,"The Processor shall forthwith notify the Controller of the existence of any breach of the precautions referred to, or where any risk arises threatening Personal Data in any way.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,11,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Breach Notification,Operational,High,Data Protection; Privacy,Implement a notification process for breaches and risks to personal data
QCB-PDP-P11-I4,SHALL,Data Protection,,"Article (14) The Controller shall inform the Individual and Competent Department of the occurrence of any breach of the precautions provided for in the preceding Article, and if such breach may cause serious damage to Personal Data or individual privacy.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,11,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Breach Notification,Operational,Medium,DataPrivacy; Security,Inform affected individuals and relevant departments promptly upon breach detection.
QCB-PDP-P11-I5,SHALL,General,,"Article (15) Taking into account the liabilities provided for hereto, the Controller shall be forbidden from taking any decision or measure that may limit the Cross-Border Data Flow, unless the processing of such data",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,11,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Protection,Governance,High,GDPR; DataPrivacy,Ensure compliance with GDPR Article 28
QCB-PDP-P12-I0,MAY,Data Protection,,"This document is not official and the official version of the law is the one published in the Official Gazette number 15 of year 2016 that is available on almeezan.qa is in breach of this Law, or where such processing may cause serious damage to the Personal Data or to the Individual’s privacy.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,12,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Privacy,Legal,High,DataPrivacyPolicy; PersonalDataProtection,Review and update compliance with the Official Gazette 15 of 2016
QCB-PDP-P12-I1,SHALL,Data Protection,,"Chapter Four Personal Data with Special Nature Article (16) The Personal data, related to ethnic origin, children, health, physical or psychological condition, religious creeds, marital relations, and criminal offenses, shall be regarded as Personal data with special nature.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,12,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Classification,Governance,Medium,DataPrivacyPolicy; DataSecurityPolicy,Classify relevant personal data as 'Personal data with special nature' and apply specific handling procedures.
QCB-PDP-P12-I2,MAY,Data Protection,,"The Minister may add other types of Personal Data of a special nature, where the misuse or disclosure of the same may cause serious damage to Individual.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,12,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Protection,Governance,High,DataPrivacyPolicy; DataSecurityPolicy,Review and update data handling policies to include new types of Personal Data.
QCB-PDP-P12-I3,MAY,Data Protection,,"Personal Data of a special nature may only be processed after obtaining the permission from the Competent Department, as per the measures and controls determined by a decision issued by the Minister.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,12,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Protection,Governance,High,GDPR; DataPrivacy,Ensure all personal data handling is authorized by the Competent Department and comply with the Minister's decision.
QCB-PDP-P12-I5,SHALL,General,,"Article (17) Taking into consideration the liabilities provided for hereto, an owner or operator of any website addressing children shall take into account the following:",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,12,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Protection,Governance,Medium,DataPrivacy; ChildProtection,Ensure compliance with Article (17) in website terms of service and privacy policy
QCB-PDP-P13-I9,SHALL,Data Protection,,"A child’s participation in a game, promotional award or any other activity shall not be conditional on the child’s provision of Personal Data in excess of the necessary for the participation in such activity.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,13,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Protection,Technical,Low,DataPrivacy; ChildProtection,Ensure data collection is minimized and transparent for child activities.
QCB-PDP-P13-I10,MAY,Data Protection,,"Chapter Five Exemptions Article (18) The Competent Authority may decide to process some Personal Data, without abiding by the provisions of Articles (4), (9), (15) and (17) hereof, for achieving any of the following purposes:",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,13,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Processing Exemptions,Legal,Medium,DataPrivacyPolicy; DataSecurityPolicy,Review and document exemptions for compliance
QCB-PDP-P14-I8,SHALL,General,,The Competent Authority shall keep a special record where the data achieving the aforementioned purposes shall be entered.,NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,14,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Management,Governance,Medium,DataRetentionPolicy; DataSecurityPolicy,Maintain a dedicated log for all data entries.
QCB-PDP-P14-I9,SHALL,General,,"Conditions, controls and statuses of entry on such record shall be specified by virtue of a decision issued by the Minister.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,14,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Governance,Governance,High,DataManagement; MinisterialControls,Ensure all entries are accompanied by a ministerial decision
QCB-PDP-P14-I10,SHALL,General,,"Article (19) The Controller shall be exempted from the provisions of Articles (4), (5\ Items 1, 2, and 3) and (6) hereof, in any of the following cases: 1.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,14,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Privacy,Legal,High,GDPR; DataPrivacy,Review and apply exemptions as per policy
QCB-PDP-P14-I20,SHALL,General,,"Article (20) The Controller shall be exempted from disclosing the reasons for the refusal thereof of abiding by the rights of the Individual, as provided for in Article (6) hereof, if such disclosure would prevent achieving",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,14,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Privacy,Legal,High,GDPR; DataProtection,Review and update privacy policies to align with Article (20)
QCB-PDP-P15-I1,SHALL,General,,"Article (21) Taking into consideration the provisions of the preceding two Article, the Controller shall be exempted from abiding by provisions of Article (6) hereof, in either of the following two cases: 1.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,15,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Access Control,Technical,Low,DataPrivacy; DataSecurity,Exclude exempted articles from access rules
QCB-PDP-P15-I4,MAY,Data Protection,,"When implementation of such liability would cause disclosing Personal Data related to another Individual who does not consent thereto, and disclosure may lead to physical or moral damage either to this Individual or to any other Individual.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,15,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Privacy,Technical,High,GDPR; Data Protection; Personal Data Handling,Implement strict access controls and consent management for personal data
QCB-PDP-P15-I5,SHALL,General,,"Chapter Six Electronic Communication for the Purpose of Direct Marketing Article (22) The transmission of any Electronic Communication to an Individual, for the purpose of Direct Marketing, shall be forbidden, except after obtaining the prior consent thereof.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,15,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Privacy,Legal,High,DataPrivacyPolicy; DirectMarketing,Obtain prior consent before transmitting electronic communications for direct marketing purposes.
QCB-PDP-P15-I6,SHALL,General,,"The Electronic Communication shall include the identity of the originator thereof, and highlight that it is sent for the purpose of Direct Marketing.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,15,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Privacy,Legal,High,GDPR; CAN-SPAM,Ensure all electronic communications include the sender's identity and specify the purpose as Direct Marketing.
QCB-PDP-P15-I7,SHALL,Security Controls,,"In addition, it shall include a valid address for easy access thereto and through which an Individual can send a request to the originator to stop such communications or revoke the consent on the sending thereof.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,15,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Privacy,Legal,High,GDPR; CCPA; HIPAA,Ensure address is publicly accessible and includes contact information for data subjects.
QCB-PDP-P16-I0,SHALL,General,,"This document is not official and the official version of the law is the one published in the Official Gazette number 15 of year 2016 that is available on almeezan.qa Chapter Seven Penalties Article (23) Without prejudice to any more severe penalty stipulated in any other law, a penalty that shall not exceed (1, 000,000) one million QR shall be applicable to anyone violating any of the provisions of the Articles (4, 8, 9, 10, 11, 12, 14, 15, and 22) hereof .",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,16,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Legal Compliance,Legal,High,Data_Law; Financial_Law,Review and comply with Article (23) of the Official Gazette number 15 of year 2016
QCB-PDP-P16-I1,SHALL,General,,"Article (24) Without prejudice to any more severe penalty stipulated in any other law, a penalty that shall not exceed (5, 000, 000) five million QR shall be applicable to anyone violating any of the provisions of the Articles (13), (16\ paragraph 3), and (17) hereof.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,16,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Privacy,Legal,High,DataPrivacyPolicy; ComplianceRegulations,Ensure all employees are trained on the specific articles and penalties.
QCB-PDP-P16-I2,SHALL,General,,"Article (25) A penalty that shall not exceed (1,000,000) One million QR shall be applicable to violating legal person, in the event of committing any of those crimes stipulated herein on the name or for the interest thereof, without prej udice to criminal liability taken by affiliated natural person.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,16,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Privacy and Security,Legal,High,DataPrivacy; LegalCompliance,Ensure all legal entities comply with the specified penalties for name-related crimes.
QCB-PDP-P17-I0,MAY,General,,This document is not official and the official version of the law is the one published in the Official Gazette number 15 of year 2016 that is available on almeezan.qa Chapter Eight Final Provisions Article (26) An Individual may file a complaint to the Competent Department in case of violating provisions hereof and the issued decisions in the implementation thereof.,NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,17,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Legal Compliance,Legal,High,DataPrivacy; Compliance,Ensure all complaints are filed in accordance with the Official Gazette and Competent Department guidelines.
QCB-PDP-P17-I1,MAY,General,,"The Competent Department may, after investigating received complaints and proving the seriousness thereof, issue a reasoned decision binding the Controller or Processor, as the case may be, to rectify such breach within a period it specifies.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,17,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Breach Response,Governance,High,DataPrivacy; Compliance,Establish clear breach response procedures and escalation protocols
QCB-PDP-P17-I2,MAY,General,,"The Controller or Processor may raise a grievance against such decision to the Minister, within sixty days from the notification date thereof.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,17,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Governance,Governance,High,DataPrivacy; DataManagement,Implement a formal grievance process and notify all stakeholders of the procedure.
QCB-PDP-P17-I3,SHALL,General,,"The Minister shall decide on the grievance within sixty days from the date of the submission thereof, and the lapse of such period without a response shall be considered as an implicit rejection of the grievance, and the decision of the Minister thereon shall be final.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,17,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Regulatory Response Time,Governance,High,Regulatory Compliance; Grievance Handling,Minister must respond within 60 days or decisions are final
QCB-PDP-P18-I5,SHALL,General,,Article (28) Any contract or agreement made in violation of the provisions hereof shall be regarded as null and void.,NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,18,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,,,,,
QCB-PDP-P18-I6,MAY,General,,"Article (29) The Ministry employees, authorized as law enforcement officers as per a decision by the Public Prosecutor, in agreement with the Minister, may detect and prove crimes committed in violation of provisions hereof.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,18,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Law Enforcement,Legal,High,Law Enforcement; Legal Compliance,Ensure compliance with Public Prosecutor and Minister's decisions for authorized law enforcement officers
QCB-PDP-P18-I8,MAY,General,,"Such period may be extended for other similar period or periods by virtue of a decision of the Council of Ministers, upon the proposal of the Minister.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,18,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Regulatory Approval,Governance,Medium,RegulatoryFramework; CouncilOfMinisters,Review and approve proposed decisions by Council of Ministers
QCB-PDP-P19-I0,SHALL,General,,This document is not official and the official version of the law is the one published in the Official Gazette number 15 of year 2016 that is available on almeezan.qa Article (31) The Minister shall issue the necessary decisions for the implementation of the provisions hereof.,NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,19,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Legal Compliance,Legal,High,Legal Regulations; Compliance,Review and implement the official decision issued by the Minister in the Official Gazette.
QCB-PDP-P19-I1,SHALL,General,,"Article 32 All the competent authorities, each within the competences thereof, shall implement this Law, and it shall be published in the official gazette.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,19,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Regulatory Compliance,Governance,High,Data_Law; Legal_Regulation,Publish in official gazette and ensure all authorities are aware and implement.
