control_id,type,topic,clause,statement,doc_title,page,doc_id,category,control_type,severity,policy_tags,implementation_hint
QCB-DCP-P11-I6,MAY,General,,"The value of the data is not fixed, as its value may change according to the stage in which it is located, which is reflected in the degree of its classification.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,11,ncsa_csga_national_data_classification_policy_en_v3.0,Operational,Technical,Low,Data Classification; Data Security,Automate the classification process to ensure timely updates and accurate categorization.
QCB-DCP-P11-I7,MAY,General,,"In some stages, they are of high value and sometimes they may lose their value completely, which leads to the need to decommission data.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,11,ncsa_csga_national_data_classification_policy_en_v3.0,Operational,Technical,Low,Data Lifecycle Management; Data Decommissioning,Implement regular data review and evaluation to ensure data remains valuable and reduces the risk of data loss.
QCB-DCP-P13-I1,MAY,Data Protection,,"For non-government organizations, some flexibility may be permitted in the choice of labels such as for C3 levels, “Confidential” could be used instead of “secret”, but it is necessary that the organization maintains one unified label scheme in its classification process.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,13,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Classification Policy,Ensure a consistent label scheme across all classifications.
QCB-DCP-P13-I2,MUST,General,,Administrative and technical tools that enable the use of labels must also be provided including color- coding of label.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,13,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Labeling; Compliance,"Ensure that administrative and technical tools are provided to enable the use of labels, including color-coding of labels."
QCB-DCP-P13-I6,MAY,Register & Reporting,,"Sensitive Date if compromised could negatively affect operations Date for Internal Use Date that may be freely disclosed to the public Intended Audience: For your Eyes Only Intended Audience: Highly defined small set of users Intended Audience: Defined users, roles or groups based on specific business rules Intended Audience: Organization Users Intended Audience: Public Figure.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,13,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Protection; Security Practices,Implement strict access controls and encryption for sensitive data.
QCB-DCP-P13-I7,SHALL,Assurance & Audit,,"2: Data Classification Labels Scheme However, the protection of the associated assets shall also be considered through their rating levels (high, medium, low).",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,13,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Protection; Asset Management,Implement a data classification scheme that includes rating levels for assets.
QCB-DCP-P14-I5,SHALL,Security Controls,,"Each organization shall create its own internal Data Classification policy that is committed to following the data classification approach, in line with legislations in the State of Qatar, such as Personal Data Privacy Protection Law (Law No.13 for 2016), and Right to Access Information Law (Law No.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,14,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Classification Policy; Qatar Data Protection Law,Develop and adhere to an internal Data Classification policy that complies with the Qatar Data Protection Law and the Right to Access Information Law.
QCB-DCP-P14-I8,MUST,General,,"The selected controls must be subject to the state of the data, as it may be either data-in-transit, data-in-use, or data-at-rest.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,14,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Governance; Data Security,"Ensure that all data is properly classified and secured according to its state (in transit, in use, or at rest)."
QCB-DCP-P14-I13,MUST,General,,All users must be aware of the tasks and duties related to data management.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,14,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Management Awareness,Implement a training program for all users on the tasks and duties related to data management.
QCB-DCP-P14-I14,MUST,General,,"Therefore, the organization must provide the required training to employees about the classification method used in the organization and follow up on compliance with it.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,14,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Protection; Compliance Training,Ensure employees are trained on the organization's classification method and regularly review compliance.
QCB-DCP-P14-I16,MUST,Register & Reporting,,"The organization must provide technical solutions to facilitate the process of data classification, including data inventory, classification tools, adding tags, the method of sharing and processing it through its various stages in proportion to the required level of protection.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,14,ncsa_csga_national_data_classification_policy_en_v3.0,Technical,Implementation,Low,Data Protection; Security Practices,Implement a data classification system with tools and tags to ensure data is handled according to its level of protection.
QCB-DCP-P14-I20,MUST,General,,The classification must be viewed in a balanced manner that achieves the required level of protection without overdoing it.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,14,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Security Best Practices; Risk Management,Implement a balanced approach to security measures to ensure adequate protection without unnecessary complexity.
QCB-DCP-P15-I2,SHALL,General,,These recommended classification labels shall not be used as default and it should be subject to apply the recommended data classification methodology 8.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,15,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,DataClassification; Compliance,Ensure that the recommended classification labels are not used as default and follow the recommended data classification methodology 8.
QCB-DCP-P15-I13,MUST,Risk Management,,"Data Consumer or User: is the person who deals with, uses and processes data according to the workflow entrusted to him, and he must be knowledgeable, sufficiently informed, and responsible for adhering to the optimal way to use and protect data according to the policies followed in the organization and to abide by the tasks entrusted to him during the stages of data management data and not expose it to potential risks.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,15,ncsa_csga_national_data_classification_policy_en_v3.0,Operational,Technical,Low,Data Protection; Data Management,Ensure all data consumers are trained on the proper handling and protection of data.
QCB-DCP-P16-I4,SHALL,General,,The policy defines five (5) levels of classification shall be used for government entities in Qatar.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,16,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Government Entities; Classification,Implement a classification system for government entities in Qatar.
QCB-DCP-P16-I5,SHALL,General,,Non- government entities shall use a minimum of four (4) levels of classification.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,16,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Classification; Security,Implement a minimum of four classification levels for non-government entities.
QCB-DCP-P16-I7,SHALL,General,,"In line with the classification levels, the organizations shall use a corresponding Data Classification Labels.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,16,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Classification; Labeling,Implement a system to automatically assign and update Data Classification Labels based on the classification levels.
QCB-DCP-P16-I10,SHALL,General,,The default classification label for unclassified date shall be C1 – Internal.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,16,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Classification; Data Management,Ensure all unclassified data is properly labeled with the C1 – Internal classification.
QCB-DCP-P16-I12,SHALL,Data Protection,,"The data shall be secured and protected based on the security classification covering Confidentiality, Integrity, and Availability.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,16,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Security; Access Control; Encryption,Implement strong encryption and access controls to ensure data confidentiality and integrity.
QCB-DCP-P16-I14,SHALL,General,,The data classification principles defined within this policy (Section 4) shall be used as the guiding force to arrive at the appropriate classification level for the data.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,16,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Classification; Data Protection,Ensure all data is classified according to the defined principles.
QCB-DCP-P16-I16,SHALL,General,,The organizations shall manage their data throughout the data life cycle and ensure that suitable processes are implemented to facilitate the same.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,16,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Management; Data Lifecycle,Implement a comprehensive data management policy and ensure that all data handling processes are documented and followed.
QCB-DCP-P16-I18,SHALL,General,,"In line with this policy, each organization shall issue its own policy mandating the Data Classification Scheme provided in this policy.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,16,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Classification Policy,Ensure all organizations have their own policy mandating the Data Classification Scheme.
QCB-DCP-P16-I22,SHALL,General,,The “Chief Data Officer” shall ensure that the Data Classification Program: a.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,16,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,High,Data Governance; Data Classification,Ensure that the Chief Data Officer is responsible for implementing and maintaining the Data Classification Program.
QCB-DCP-P16-I33,SHALL,Governance,,The National Cyber Governance and Assurance affairs shall be the competent department for administrating this policy within the NCSA.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,16,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Cyber Governance; Compliance,Establish a dedicated Cyber Governance and Assurance department within the NCSA to oversee policy implementation.
QCB-DCP-P17-I12,SHALL,Risk Management,,"Any other deviations to this policy shall be communicated to the National Cyber Security Agency by the organization, through an official correspondence explaining the justifications and rational, along with a risk management plan identifying the risks, assessment of the risk, mitigating controls, and communication and acceptance of the risk by senior management.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,17,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Security Policy; Risk Management,"Communicate deviations to the National Cyber Security Agency via official correspondence, justifying actions, and implementing risk management plans."
QCB-DCP-P20-I1,MAY,General,,"DATA REASSESSMENT The value of data may change from time to time based on various factors such as processing cycle, time, right of use, applicability to business, etc.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Management; Data Lifecycle,Regularly review and update data policies and practices to ensure they remain relevant and effective.
QCB-DCP-P20-I5,MUST,General,,"Based on this reassessment, corrective action must be taken on the controls applied.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Security; Compliance,Review and update controls as necessary.
QCB-DCP-P20-I9,MUST,General,,"Once data has served its purpose, it must be decommissioned and deleted from systems to end its life cycle.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Lifecycle Management; Data Deletion,Implement a system or process to automatically delete data after its intended use has been fulfilled.
QCB-DCP-P20-I10,SHOULD,General,,Agencies should consult with their legal department and establish data retention policies within their organization.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Legal,Low,Data Retention Policy,Consult legal department to establish data retention policies.
QCB-DCP-P20-I11,SHOULD,General,,"All legal requirements, business requirements, contractual requirements and other should be considered when determining the retention period for data.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Legal,High,Data Retention Policy; Data Lifecycle Management,"Review and update retention periods based on legal, business, and contractual requirements."
QCB-DCP-P20-I13,MAY,General,,Legal requirements: You may have a legally binding reason to delete data from your systems.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0,Legal,Governance,High,Data Governance; Data Retention,Ensure compliance with legal requirements for data deletion by implementing a clear and documented data retention policy.
QCB-DCP-P20-I15,MAY,Data Protection,,"User requests: under data protection laws such as Qatar PDPPL and GDPR, users may request organizations to delete their personal data from their systems.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Protection; Data Deletion,Implement a system that allows users to request the deletion of their personal data.
QCB-DCP-P20-I17,MAY,General,,"Takedown requests: the organization may knowingly or unknowingly have illegal, unlicensed or proprietary information on their systems that may constitute a breach of the law.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Protection; Compliance,Implement strict access controls and regularly review system logs to detect and remove unauthorized access attempts.
QCB-DCP-P20-I18,MUST,General,,"If such information is identified, it must be removed with immediate effect.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0,Technical,Technical,High,Data Protection; Security Practices,Implement strict data deletion procedures to ensure all identified sensitive information is removed immediately.
QCB-DCP-P20-I19,MUST,General,,"Organizations must also consider whether it is necessary to obtain permission before releasing data and, if so, implement appropriate controls.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Privacy; Data Access Control,Review data release policies and implement access controls as needed.
QCB-DCP-P20-I20,MUST,General,,"Lastly, users must be educated about and use safe disposal methods depending on the classification of the data.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Security; User Education,Provide training sessions on safe data disposal methods.
QCB-DCP-P21-I1,SHALL,General,,"And although certain steps shall be implemented at the onset across the organization, when it comes to technical implementation of controls you may feel the need to break the technical implementation in defined sub scopes.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,21,ncsa_csga_national_data_classification_policy_en_v3.0,Technical,Sub Scope Implementation,Low,Technical Implementation; Sub Scope Management,Break down technical implementation into manageable sub-scopes for better control and easier management.
QCB-DCP-P21-I3,MUST,General,,Step Step 11:: Management commitment: Management must formally introduce the data classification program in their organization.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,21,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Classification Program Introduction,Ensure that management formally introduces the data classification program in the organization through a documented communication and action plan.
QCB-DCP-P21-I4,MUST,General,,Step Step 22: : Management must appoint a person as ‹Chief Data Officer› who has the appropriate skills and business understanding to lead and manage the program.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,21,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Governance; Chief Data Officer,Designate a Chief Data Officer with relevant skills and business acumen to lead the data management program.
QCB-DCP-P21-I5,MUST,General,,"Step Step 33: : Management must allocate the necessary resources (funds, staff) to the program.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,21,ncsa_csga_national_data_classification_policy_en_v3.0,Operational,Technical,Low,Program Management; Resource Allocation,Ensure that the budget and staffing for the program are clearly defined and regularly reviewed.
QCB-DCP-P21-I13,SHOULD,General,,"Therefore, organizations should conduct a Business Impact Analysis (BIA) to identify the critical processes/functions in the organization.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,21,ncsa_csga_national_data_classification_policy_en_v3.0,Operational,Technical,Low,Business Impact Analysis; Process Identification,Perform a Business Impact Analysis to identify critical processes.
QCB-DCP-P21-I14,SHOULD,General,,These critical processes/functions should be prioritized over other unimportant business processes.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,21,ncsa_csga_national_data_classification_policy_en_v3.0,Operational,Technical,High,CriticalProcessPrioritization; BusinessProcessPrioritization,Implement a prioritization system for critical processes to ensure they are given the necessary resources and attention.
QCB-DCP-P22-I1,MAY,General,,"If the Agency has an existing method for assessment of business impact, this lowercase to may be used instead of the one provided in this Appendix.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,22,ncsa_csga_national_data_classification_policy_en_v3.0,Operational,Technical,Low,Compliance; Risk Assessment,Replace the existing method for assessing business impact with the one provided in this Appendix.
QCB-DCP-P22-I9,SHOULD,General,,The following steps should be undertaken to rate a processes criticality: 1.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,22,ncsa_csga_national_data_classification_policy_en_v3.0,Operational,Technical,Low,Process Rating; Criticality Assessment,Evaluate process effectiveness and identify key performance indicators.
