policy_name,control_id,control_statement,category,severity,evidence_required,review_frequency,evidence_owner,source_doc_title,source_page,source_controls_file
Data Classification,QCB-DC-P8-I2,"It cannot be hidden that without the use of a unified system and methodology for classifying data, all organizations will have different levels of asset protection, with no defined interpretations, which may hinder the business flow especially since data is mobile in nature.",Data Classification,High,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,8,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P9-I14,"The National Information Assurance Standard is the complementary document to this document, which clarifies the main controls that organizations must take after they classify the data, which is updated according to the Procedures Fellowed.",Data Classification,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,9,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P10-I3,Data Classification Principles This policy is based on the following set of core principles that must be considered when classifying data: Principle 1: Understanding the nature of data Understanding data is the starting point in the methodology used to classify data.,Data Management,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,10,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P10-I4,"It is important to understand data as it may have a bearing on the way it is handled, stored, secured, processed, or exchanged.",Data Understanding,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,10,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P10-I9,"Therefore, the process of classifying data must consider data lifecycle.",Data Management,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,10,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P10-I12,"Therefore, risk assessment is one of the basic principles that must be considered when classifying data, which determines the sensitivity and importance of this data for the work carried out by the organization.",Data Classification,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,10,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P10-I15,"The data classification process must achieve the most appropriate classification level which is as low as possible but as high as necessary, along with the necessary level of protection without exaggeration and without adding any administrative, financial, or technical burdens that may constitute an obstacle to the conduct of business within the organization.",Data Classification,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,10,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P11-I3,A high-level governance must be established across the organization with clearly defined roles and responsibilities for the different stakeholders within the organization.,Governance,High,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,11,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P11-I6,"The value of the data is not fixed, as its value may change according to the stage in which it is located, which is reflected in the degree of its classification.",Data Classification,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,11,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P11-I7,"In some stages, they are of high value and sometimes they may lose their value completely, which leads to the need to decommission data.",Data Management,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,11,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P13-I1,"For non-government organizations, some flexibility may be permitted in the choice of labels such as for C3 levels, “Confidential” could be used instead of “secret”, but it is necessary that the organization maintains one unified label scheme in its classification process.",Data Classification,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,13,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P13-I2,Administrative and technical tools that enable the use of labels must also be provided including color- coding of label.,Data Management,Medium,Process document / checklist / operational log,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,13,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P13-I6,"Sensitive Date if compromised could negatively affect operations Date for Internal Use Date that may be freely disclosed to the public Intended Audience: For your Eyes Only Intended Audience: Highly defined small set of users Intended Audience: Defined users, roles or groups based on specific business rules Intended Audience: Organization Users Intended Audience: Public Figure.",Data Classification,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,13,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P13-I7,"2: Data Classification Labels Scheme However, the protection of the associated assets shall also be considered through their rating levels (high, medium, low).",Data Security,Medium,Configuration screenshot / system log / access report,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,13,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P14-I5,"Each organization shall create its own internal Data Classification policy that is committed to following the data classification approach, in line with legislations in the State of Qatar, such as Personal Data Privacy Protection Law (Law No.13 for 2016), and Right to Access Information Law (Law No.",Data Classification,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,14,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P14-I8,"The selected controls must be subject to the state of the data, as it may be either data-in-transit, data-in-use, or data-at-rest.",Data Security,High,Configuration screenshot / system log / access report,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,14,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P14-I13,All users must be aware of the tasks and duties related to data management.,Data Awareness,Medium,Process document / checklist / operational log,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,14,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P14-I14,"Therefore, the organization must provide the required training to employees about the classification method used in the organization and follow up on compliance with it.",Training and Awareness,Medium,Process document / checklist / operational log,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,14,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P14-I16,"The organization must provide technical solutions to facilitate the process of data classification, including data inventory, classification tools, adding tags, the method of sharing and processing it through its various stages in proportion to the required level of protection.",Data Security,High,Configuration screenshot / system log / access report,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,14,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P14-I20,The classification must be viewed in a balanced manner that achieves the required level of protection without overdoing it.,Data Classification,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,14,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P15-I2,These recommended classification labels shall not be used as default and it should be subject to apply the recommended data classification methodology 8.,Data Classification,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,15,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P15-I13,"Data Consumer or User: is the person who deals with, uses and processes data according to the workflow entrusted to him, and he must be knowledgeable, sufficiently informed, and responsible for adhering to the optimal way to use and protect data according to the policies followed in the organization and to abide by the tasks entrusted to him during the stages of data management data and not expose it to potential risks.",Data Governance,High,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,15,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P16-I4,The policy defines five (5) levels of classification shall be used for government entities in Qatar.,Data Classification,Low,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,16,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P16-I5,Non- government entities shall use a minimum of four (4) levels of classification.,Data Classification,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,16,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P16-I7,"In line with the classification levels, the organizations shall use a corresponding Data Classification Labels.",Data Management,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,16,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P16-I10,The default classification label for unclassified date shall be C1 – Internal.,Data Classification,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,16,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P16-I12,"The data shall be secured and protected based on the security classification covering Confidentiality, Integrity, and Availability.",Data Security,High,Configuration screenshot / system log / access report,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,16,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P16-I14,The data classification principles defined within this policy (Section 4) shall be used as the guiding force to arrive at the appropriate classification level for the data.,Data Management,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,16,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P16-I16,The organizations shall manage their data throughout the data life cycle and ensure that suitable processes are implemented to facilitate the same.,Data Management,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,16,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P16-I18,"In line with this policy, each organization shall issue its own policy mandating the Data Classification Scheme provided in this policy.",Policy,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,16,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P16-I22,The “Chief Data Officer” shall ensure that the Data Classification Program: a.,Data Management,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,16,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P16-I33,The National Cyber Governance and Assurance affairs shall be the competent department for administrating this policy within the NCSA.,Regulatory Compliance,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,16,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P17-I12,"Any other deviations to this policy shall be communicated to the National Cyber Security Agency by the organization, through an official correspondence explaining the justifications and rational, along with a risk management plan identifying the risks, assessment of the risk, mitigating controls, and communication and acceptance of the risk by senior management.",Data Security,High,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,17,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P20-I1,"DATA REASSESSMENT The value of data may change from time to time based on various factors such as processing cycle, time, right of use, applicability to business, etc.",Data Management,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P20-I5,"Based on this reassessment, corrective action must be taken on the controls applied.",Risk Management,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P20-I9,"Once data has served its purpose, it must be decommissioned and deleted from systems to end its life cycle.",Data Lifecycle Management,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P20-I10,Agencies should consult with their legal department and establish data retention policies within their organization.,Data Management,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P20-I11,"All legal requirements, business requirements, contractual requirements and other should be considered when determining the retention period for data.",Data Retention,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P20-I13,Legal requirements: You may have a legally binding reason to delete data from your systems.,Data Protection,High,Configuration screenshot / system log / access report,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P20-I15,"User requests: under data protection laws such as Qatar PDPPL and GDPR, users may request organizations to delete their personal data from their systems.",Data Privacy,High,Configuration screenshot / system log / access report,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P20-I17,"Takedown requests: the organization may knowingly or unknowingly have illegal, unlicensed or proprietary information on their systems that may constitute a breach of the law.",Data Security,High,Configuration screenshot / system log / access report,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P20-I18,"If such information is identified, it must be removed with immediate effect.",Data Protection,High,Configuration screenshot / system log / access report,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P20-I19,"Organizations must also consider whether it is necessary to obtain permission before releasing data and, if so, implement appropriate controls.",Data Protection,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P20-I20,"Lastly, users must be educated about and use safe disposal methods depending on the classification of the data.",Data Security,Medium,Policy / procedure / configuration / logs / report,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,20,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P21-I1,"And although certain steps shall be implemented at the onset across the organization, when it comes to technical implementation of controls you may feel the need to break the technical implementation in defined sub scopes.",Security,Medium,Configuration screenshot / system log / access report,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,21,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P21-I3,Step Step 11:: Management commitment: Management must formally introduce the data classification program in their organization.,Governance,Medium,Process document / checklist / operational log,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,21,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P21-I4,Step Step 22: : Management must appoint a person as ‹Chief Data Officer› who has the appropriate skills and business understanding to lead and manage the program.,Data Management,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,21,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P21-I5,"Step Step 33: : Management must allocate the necessary resources (funds, staff) to the program.",Resource Allocation,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,21,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P21-I13,"Therefore, organizations should conduct a Business Impact Analysis (BIA) to identify the critical processes/functions in the organization.",Risk Management,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,21,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P21-I14,These critical processes/functions should be prioritized over other unimportant business processes.,AccessControl,High,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,21,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P22-I1,"If the Agency has an existing method for assessment of business impact, this lowercase to may be used instead of the one provided in this Appendix.",Risk Management,Low,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,22,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P22-I9,The following steps should be undertaken to rate a processes criticality: 1.,Risk Management,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,22,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
